publication_title;abstract;doi;data received from unpaywall;no paywall;pdf url
The impact of multinational enterprises (MNEs) on knowledge-intensive business services (KIBS) start-ups;"Jacobs W., van Rietbergen T., Atzema O., van Grunsven L. and van Dongen F. The impact of multinational enterprises (MNEs) on knowledge-intensive business services (KIBS) start-ups: empirical evidence from the Dutch Randstad, Regional Studies. This paper focuses on the impact of multinational enterprises (MNEs) on the level of entrepreneurship in knowledge-intensive business services (KIBS) in metropolitan regions. Large globalizing metropolitan regions or world cities&#39; are generally considered prime office locations for MNEs and KIBS alike. Certain locations in these metropolitan regions or world cities provide multifarious benefits of being co-agglomerated. Yet the impact of local MNEs, whether domestic or foreign, on successful local entrepreneurship in related KIBS has hardly been conceptually or empirically addressed in the literature. This paper presents evidence from the Dutch Randstad based on a questionnaire given to 2,000 KIBS firms founded in 2001-08 and supported by interviews with major international KIBS. The main conclusion is that MNEs in KIBS firms spawn successful entrepreneurship in KIBS. Implications for regional development policy are also addressed. Jacobs W., van Rietbergen T., Atzema O., van Grunsven L. and van Dongen F. ????(MNE)??????????(KIBS)????????????????(Randstad)????,????????????(MNE) ????????????????(KIBS)???????????????,?????????? ???,? MNE ? KIBS ???????????????????????????,???????????????????????????,???????????? MNE,????? KIBS ???????????????,?????????????????????2001??2008???KIBS??????????,?????????KIBS??????,??????????(Randstad)???????????KIBS ??? MNE,??? KIBS ????????????????????????? Jacobs W., van Rietbergen T., Atzema O., van Grunsven L. et van Dongen F., L&#39;impact des entreprises multinationales sur les services aux entreprises en demarrage a forte intensite de connaissance: des preuves empiriques provenant de la Randstad neerlandaise, Regional Studies. Cet article porte sur l&#39;impact des entreprises multinationales (a savoir, les MNE) sur l&#39;esprit d&#39;entreprise des services aux entreprises a forte densite de connaissances (a savoir les KIBS) dans les regions metropolitaines. En regle generale, on considere les grandes regions metropolitaines mondialisees, autrement dit les grandes villes du monde&#39;, comme des emplacements de premier ordre pour les bureaux des MNE et des KIBS, tous les deux. Certains emplacements dans ces regions metropolitaines ou dans ces grandes villes du monde offrent de nombreux avantages de co-agglomeration. Toujours est-il que, dans la documentation, on n&#39;a guere aborde d&#39;un point de vue conceptuel ou empirique l&#39;impact des MNE locales, soit nationales, soit internationales, sur l&#39;esprit d&#39;entreprise reussi des KIBS apparentes. Cet article presente des resultats provenant de la Randstad neerlandaise fondes sur une questionnaire aupres de 2000 KIBS etablis entre 2001 et 2008 completee par des interviews aupres d&#39;importants KIBS internationaux. La principale conclusion est la suivante: les MNE parmi les KIBS donnent naissance a un esprit d&#39;entreprise reussi dans les KIBS. On aborde aussi les consequences pour la politique d&#39;amenagement du territoire. Jacobs W., van Rietbergen T., Atzema O., van Grunsven L. und van Dongen F. Auswirkung von multinationalen Unternehmen auf Firmengrundungen im Bereich der wissensintensiven Geschaftsdienste: Belege aus der niederlandischen Randstad, Regional Studies. Im Mittelpunkt dieses Beitrags stehen die Auswirkungen von multinationalen Unternehmen auf den Umfang des Unternehmertums in wissensintensiven Geschaftsdiensten in Metropolitanregionen. Gro ss e globalisierende Metropolitanregionen oder Weltstadte&#39; gelten generell als erstklassige Standorte fur gewerbliche Immobilien fur multinationale Unternehmen und wissensintensive Geschaftsdienste. Bestimmte Standorte in diesen Metropolitanregionen oder Weltstadten bieten aufgrund ihres gemeinsamen Ballungsraums vielfaltige Vorteile. Allerdings wurde die Auswirkung von lokalen multinationalen Unternehmen (egal ob im in- oder auslandischen Besitz) auf erfolgreiches lokales Unternehmertum in zugehorigen wissensintensiven Geschaftsdiensten in der Literatur bisher noch kaum konzeptuell oder empirisch untersucht. In diesem Beitrag stellen wir Belege der niederlandischen Randstad vor, die mithilfe eines Fragebogens erfasst wurden, der an 2000 im Zeitraum von 2001 bis 2008 gegrundete Firmen fur wissensintensive Geschaftsdienste ausgegeben und durch Interviews mit wichtigen internationalen Firmen fur wissensintensive Geschaftsdienste erganzt wurde. Die wichtigste Schlussfolgerung lautet, dass multinationale Unternehmen im Bereich der wissensintensiven Geschaftsdienste erfolgreiches Unternehmertum fur wissensintensive Geschaftsdienste hervorbringen. Ebenso werden die Konsequenzen fur die Regionalentwicklung erortert. Jacobs W., van Rietbergen T., Atzema O., van Grunsven L. y van Dongen F. El impacto de las empresas multinacionales en la creacion de empresas para servicios a empresas intensivos en conocimiento (SEIC): evidencia empirica de Randstad en los Paises Bajos, Regional Studies. Este articulo trata sobre el impacto de las empresas multinacionales en el nivel de interes empresarial de los servicios a empresas intensivos en conocimiento (SEIC) en regiones metropolitanas. Las grandes regiones metropolitanas globalizadas o ciudades del mundo&#39; se consideran en general lugares principales de inmuebles de uso comercial para empresas multinacionales y SEIC. Determinados lugares en estas regiones metropolitanas o ciudades del mundo ofrecen diversos beneficios gracias a su aglomeracion conjunta. Sin embargo, el impacto de las empresas multinacionales locales, ya sean nacionales o extranjeras, en el exito del empresariado local en los SEIC relacionados apenas se ha abordado desde un punto de vista conceptual o empirico en la bibliografia. En este articulo presentamos datos de la region neerlandesa Randstad a partir de un cuestionario que se entrego a 2.000 empresas de SEIC fundadas entre 2001 y 2008, junto con entrevistas a las principales empresas de SEIC internacionales. La principal conclusion es que las empresas multinacionales en los servicios a empresas intensivos en conocimiento generan exito empresarial en estos servicios. Tambien explicamos las implicaciones para la politica de desarrollo regional.";https://doi.org/10.1080/00343404.2014.932905;yes;VRAI;
Current-induced birefringent absorption and non-reciprocal plasmons in graphene;We present extensive calculations of the optical and plasmonic properties of a graphene sheet carrying a dc current. By calculating analytically the densitydensity response function of current-carrying states at finite temperature, we demonstrate that an applied dc current modifies the Pauli blocking mechanism and that absorption acquires a birefringent character with respect to the angle between the in-plane light polarization and current flow. Employing random phase approximation at finite temperature, we show that graphene plasmons display a degree of non-reciprocity and collimation that can be tuned with the applied current. We discuss the possibility to measure these effects.;https://doi.org/10.1088/2053-1583/3/1/015011;yes;FAUX;
Real-time intraoperative optical coherence tomography imaging confirms older concepts about the Berger space;Background: The presence of a space between the posterior capsule and the anterior vitreous was first reported in 1887, but difficulties inherent in examining this structure made it impossible to visualize this area in vivo until now. Estimation of the size of this space was considered to be impossible. Materials and Methods: We utilized an optical coherence tomography (OCT) system attached to the Zeiss Opmi Lumera 700/Rescan microscope (Zeiss Ltd., Jena, Germany) to provide real-time images of the Berger space, the anterior hyaloid and the ligament of Wieger. Results: Imaging in 3 patients provided beautiful, real-time OCT images of the Berger space and of the ligament of Wieger. In one highly myopic eye, there was even evidence of anterior vitreous detachment. Conclusion: Previously unseen transparent structures of the eye can now be imaged intraoperatively using real-time OCT. This new technology seems very promising in achieving a better understanding of the anterior vitreous interface, more specifically of the anterior hyaloid and its posterior capsule attachment by the ligament of Wieger. Changes in the anterior hyaloid and its capsular attachment may contribute to a better understanding of the posterior segment complications after cataract surgery.;https://doi.org/10.1159/000446242;yes;FAUX;
Ab-initio study of the segregation and electronic properties of neutral and charged B and P dopants in Si and $Si/SiO_{2}$ nanowires;We perform first-principles calculations to investigate the preferred positions of B and P dopants, both neutral and in their preferred charge state, in Si and Si/SiO2 core-shell nanowires (NWs). In order to understand the observed trends in the formation energy, we isolate the different effects that determine these formation energies. By making the distinction between the unrelaxed and the relaxed formation energy, we separate the impact of the relaxation from that of the chemical environment. The unrelaxed formation energies are determined by three effects: (i) the effect of strain caused by size mismatch between the dopant and the host atoms, (ii) the local position of the band edges, and (iii) a screening effect. In the case of the SiNW (Si/SiO2 NW), these effects result in an increase of the formation energy away from the center (interface). The effect of relaxation depends on the relative size mismatch between the dopant and host atoms. A large size mismatch causes substantial relaxation that reduces the formation energy considerably, with the relaxation being more pronounced towards the edge of the wires. These effects explain the surface segregation of the B dopants in a SiNW, since the atomic relaxation induces a continuous drop of the formation energy towards the edge. However, for the P dopants, the formation energy starts to rise when moving from the center but drops to a minimum just next to the surface, indicating a different type of behavior. It also explains that the preferential location for B dopants in Si/SiO2 core-shell NWs is inside the oxide shell just next to the interface, whereas the P dopants prefer the positions next to the interface inside the Si core, which is in agreement with recent experiments. These preferred locations have an important impact on the electronic properties of these core-shell NWs. Our simulations indicate the possibility of hole gas formation when B segregates into the oxide shell. (C) 2015 AIP Publishing LLC.;https://doi.org/10.1063/1.4930048;yes;VRAI;https://repository.uantwerpen.be/docman/irua/3fbd4d/86923.pdf
Sharing the silver screen;"Despite the growing attention paid to the social practice of cinemagoing and to Indian diasporic film cultures, little research has combined these two topics. This article looks into issues of community as well as discursive practices occurring at the intersection of these two phenomena. First, it examines the physical community formation generated by the theater space as a setting for watching homeland films, in accordance with more general theories about diasporic communities and media consumption (Georgiou, 2006). Second, it looks into the audience discourses that precede and follow the actual cinemagoing act (Gillespie, 2002; Staiger, 2000). Based on a case study in the Belgian city of Antwerp, large-scale as well as in-depth insights are developed through a multi-method approach, combining analyses of in-depth interviews with the results of an exploratory cinema survey. These revealed that Indian diasporic cinemagoing is limited in its community-forming function (by issues of comfort, audience diversity, as well as behavioral conformism to a Western context) and is characterized by transnational discursive practices informing film preferences. A general change in the social experience of cinemagoing occurred in the diasporic context when compared to India and intercommunity differences found expression in cinemagoing culture.";https://doi.org/10.1177/0974927615586932;yes;VRAI;https://aip.scitation.org/doi/pdf/10.1063/1.3295432
"The influence of socio-economic status on mothers&#39; volubility and responsiveness in a monolingual Dutch-speaking sample";This article investigates the amount of input and the quality of motherchild interactions in mothers who differ in socio-economic status (SES): mid-to-high SES (mhSES) and low SES. The amount of input was measured as the number of utterances per hour, the total duration of speech per hour and the number of turns per hour. The quality of the motherchild interactions was analysed using a simple coding scheme: (1) response or not?, (2) incorporation or not? and (3) exact repetition or expansion? Main results showed that mothers of lowSES have fewer utterances per hour, shorter durations of speech and fewer turns per hour than mothers of mhSES. Also, lowSES mothers respond significantly less to their childrens utterances and use more exact repetitions than expansions.;https://doi.org/10.1177/0142723716639502;yes;FAUX;
Separation of modeling principles and design principles in enterprise engineering;An agile enterprise requires evolvable information systems and organizational structures. Some design theories, e.g. Normalized Systems theory, which were originally developed for designing information systems, have been generalized and extended for the design of organizations. In addition to information systems, Normalized Systems theory has recently expanded its applicability into the organizational level, including business process. This resulted in a set of 25 design guidelines for Normalized Systems Business Processes. On the other hand, Enterprise Ontology provides advantages in understanding the essence of organizations for massive abstraction and complexity reduction. Since these two streams of research apparently have similar goals, i.e. designing enterprises, using different approaches, some early studies tried to compare or combine them. However, most of them achieved limited success. This research investigates the literature, looking for a new way to connect them. It concludes that it may be possible to sequentially utilize those two artifacts in two different phases of enterprise engineering.;https://doi.org/10.1007/978-3-319-48393-1_28;yes;FAUX;
Practical tools for implementing early palliative care in advanced lung cancer;We read with interest the article by Blum and SchÃ¶nfeld [1]. Early introduction of palliative care (EPC) in the management of patients with advanced lung cancer is recommended because it improves quality of life and tends to produce better survival [2]. Hospital-based palliative teams mainly focus on terminal care for hospitalised patients. Involvement of the treating pulmonologist in this setting is warranted, as stated by Blum and SchÃ¶nfeld [1]. We would like to show you how we started EPC in collaboration with the palliative team in our hospital (table 1).;https://doi.org/10.1183/13993003.00382-2015;yes;FAUX;
Singular and totally singular unitary spaces;In this article, we present a decomposition theorem for unitary spaces over a central simple division algebra with involution in characteristic 2. This is a generalization of a decomposition result for quadratic forms in characteristic 2 from [4] and extends a generalization of the Witt decomposition theorem for nonsingular spaces in this setting to cover spaces that may be singular.;https://doi.org/10.1080/00927872.2014.967353;yes;VRAI;https://repository.uantwerpen.be/docman/irua/aaab98/89652.pdf
Defining a standard set of patient-centred outcomes for lung cancer;In lung cancer, outcome measurement has been mostly limited to survival. Proper assessment of the value of lung cancer treatments, and the performance of institutions delivering care, requires more comprehensive measurement of standardised outcomes. The International Consortium for Health Outcomes Measurement convened an international, multidisciplinary working group of patient representatives, medical oncologists, surgeons, radiation oncologists, pulmonologists, palliative care specialists, registry experts and specialist nurses to review existing data and practices. Using a modified Delphi method, the group developed a consensus recommendation (the set) on the outcomes most essential to track for patients with lung cancer, along with baseline demographic, clinical and tumour characteristics (case-mix variables) for risk adjustment. The set applies to patients diagnosed with nonsmall cell lung cancer and small cell lung cancer. Our working group recommends the collection of the following outcomes: survival, complications during or within 6â€…months of treatment and patient-reported domains of health-related quality of life including pain, fatigue, cough and dyspnoea. Case-mix variables were defined to improve interpretation of comparisons. We defined an international consensus recommendation of the most important outcomes for lung cancer patients, along with relevant case-mix variables, and are working to support adoption and reporting of these measures globally.;https://doi.org/10.1183/13993003.02049-2015;yes;VRAI;https://repository.uantwerpen.be/docman/irua/4f9cff/88899.pdf
The importance of realistic dispersal models in conservation planning;As biodiversity hotspots are often characterized by high human population densities, implementation of conservation management practices that focus only on the protection and enlargement of pristine habitats is potentially unrealistic. An alternative approach to curb species extinction risk involves improving connectivity among existing habitat patches. However, evaluation of spatially explicit management strategies is challenging, as predictive models must account for the process of dispersal, which is difficult in terms of both empirical data collection and modelling. Here, we use a novel, individual-based modelling platform that couples demographic and mechanistic dispersal models to evaluate the effectiveness of realistic management scenarios tailored to conserve forest birds in a highly fragmented biodiversity hotspot. Scenario performance is evaluated based on the spatial population dynamics of a well-studied forest bird species. The largest population increase was predicted to occur under scenarios increasing habitat area. However, the effectiveness was sensitive to spatial planning. Compared to adding one large patch to the habitat network, adding several small patches yielded mixed benefits: although overall population sizes increased, specific newly created patches acted as dispersal sinks, which compromised population persistence in some existing patches. Increasing matrix connectivity by the creation of stepping stones is likely to result in enhanced dispersal success and occupancy of smaller patches. Synthesis and applications. We show that the effectiveness of spatial management is strongly driven by patterns of individual dispersal across landscapes. For species conservation planning, we advocate the use of models that incorporate adequate realism in demography and, particularly, in dispersal behaviours.;https://doi.org/10.1111/1365-2664.12643;yes;FAUX;
Regioselective versatility of monooxygenase reactions catalyzed by CYP2B6 and CYP3A4;"Hepatic microsomal cytochrome P450 (CYP) enzymes have broad and overlapping substrate specificity and catalyze a variety of monooxygenase reactions, including aliphatic and aromatic hydroxylations, N-hydroxylations, oxygenations of heteroatoms (N, S, P and I), alkene and arene epoxidations, dehalogenations, dehydrogenations and N-, O- and S-dealkylations. Individual CYP enzymes typically catalyze the oxidative metabolism of a common substrate in a regioselective and stereoselective manner. In addition, different CYP enzymes often utilize different monooxygenase reactions when oxidizing a common substrate. This review examines various oxidative reactions catalyzed by a CYP enzyme acting on a single substrate. In the first example, 2,2&#39;,4,4&#39;-tetrabromodiphenyl ether (BDE-47), a halogenated aromatic environmental contaminant, was oxidatively biotransformed by human CYP2B6. Nine different metabolites of BDE-47 were produced by CYP2B6 via monooxygenase reactions that included aromatic hydroxylation, with and without an NIH-shift, dealkylation and debromination. In the second example, lithocholic acid (3a-hydroxy-5 beta-cholan-24-oic acid), an endogenous bile acid, served as a substrate for human CYP3A4 and yielded five different metabolites via aliphatic hydroxylation and dehydrogenation reactions.";https://doi.org/10.1007/978-3-319-16009-2_5;yes;VRAI;https://repository.uantwerpen.be/docman/irua/f8cd2e/105242.pdf
Fast bias field reduction by localized Lloyd-Max quantization;Bias field reduction is a common problem in medical imaging. A bias field usually manifests itself as a smooth intensity variation across the image. The resulting image inhomogeneity is a severe problem for posterior image processing and analysis techniques such as registration or segmentation. In this paper, we present a fast debiasing technique based on localized Lloyd-Max quantization. Thereby, the local bias is modelled as a multiplicative field and is assumed to be slowly varying. The method is based on the assumption that the local, undegraded histogram is characterized by a limited number of gray values. The goal is then to find the discrete intensity values such that spreading those values according to the local bias field reproduces the global histogram as good as possible. We show that our method is capable of efficiently reducing (even strong) bias fields in 3D volumes in only a few seconds.;https://doi.org/10.1117/12.770724;yes;VRAI;https://repository.uantwerpen.be/docman/irua/753b8e/128729.pdf
LÃ¶wdin correlation energy density of the inhomogeneous electron liquid in some closed-shell molecules at equilibrium geometry;"Using existing theoretical studies, we point out that the dominant variable in determining Lwdin correlation energies per electron Ec/N of isoelectronic series of molecules at equilibrium is the total number of electrons. This turns out to be Ec/N &#61; -0.033 Â± 0.003 a.u. for CH4, NH3, H2O and HF (N &#61; 10), and Ec/N &#61; -0.039 Â± 0.007 for some 20 Si-containing molecules in the series SiXnYm. Following earlier work of March and Wind on atoms, some proposals are then made as to a possible explanation of such behaviour. A test is proposed, via low-order Mller-Plesset perturbation theory, as to whether the Lwdin correlation energy density Ã¥c(r) is, albeit approximately, a local functional Ã¥c(Ã±) of the ground-state density for molecules at equilibrium. Such an LDA assumption would imply that Ã¥c(Ã±) is quantitatively linear in Ã±(r), for closed-shell molecules at equilibrium, at least for the light atomic components treated here. This, in turn implies that the dominant effect of the Lwdin correlation energy for closed-shell molecules at equilibrium is merely to shift the chemical potential.";https://doi.org/10.1080/00319100701790069;yes;FAUX;
Globalization and variants of local adaptation;An increasing body of evidence indicates that globalization can trigger a variety of reactions from societies. The possible outcomes include blending, hybridization, fault line formation or even an increased salience of local traditionalist value systems. An important task for the research field is developing systematic, comparative theories predicting which outcome is expected to emerge depending on the interplay between the global and the local. Drawing on the rich empirical literature on globalization variants, the article takes a further step in theory building by proposing a typology with the four possible outcomes mentioned above. To make the model premises more transparent, the authors transcribe their arguments into symbolic logic sentences and derive the typology outcomes as theorems. This allows testing if the proposed model does indeed imply the purported conclusions, and to see what consequences would, or would not, follow from a slightly modified premise set, that is, from a slightly modified globalization theory.;https://doi.org/10.1177/0268580916662384;yes;FAUX;
X-ray scattering factor of the inhomogeneous electron liquid in the ground state of the Ne atom: contribution of the exchange-correlation potential;We have recently set out an approach to the X-ray scattering from 10-electron central field systems such as the almost spherical molecular species CH4 and NH , in terms of DFT. Here, we take the united atom Ne of CH4 as our focal point, and exploit the fact that the exchange-correlation potential Vxc(r) is known from the work of Zhao et al. (Q. Zhao, R.C. Morrison and R.G. Parr, Phys. Rev. A50, 2138 (1994)). Thus, we can calculate the explicit and sizeable contribution that the exchange-correlation force -ÃVxc/Ãr derived from this exchange-correlation potential makes to the measured X-ray scattering factor of Ne.;https://doi.org/10.1080/00319100802239479;yes;FAUX;
Seeing through the window: pre-fetching strategies for out-of-core image processing algorithms;Scientific data files have been increasing in size during the past decades. In the medical field, for instance. magnetic resonance imaging and computer aided tomography can yield image volumes of several gigabytes. While secondary storage (hard disks) increases in capacity and its cost per megabyte slumps over the years, primary memory (RAM) can still be a bottleneck in the processing of huge amounts of data. This represents a problem for image processing algorithms, which often need to keep in memory the original image and a copy of it to store the results. Operating systems optimize memory usage with memory paging and enhanced I/O operations. Although image processing algorithms usually work on neighbouring areas of a pixel, they follow pre-determined paths through the image and might not benefit from the memory paging strategies offered by the operating system, which are general purpose and unidimensional. Having the principles of locality and predetermined traversal paths in mind, we developed an algorithm that uses multi-threaded pre-fetching of data to build a disk cache in memory. Using the concept of a window that slides over the data, we predict the next block of memory to be read according to the path followed by the algorithm and asynchronously pre-fetch such block before it is actually requested. While other out-of-core techniques reorganize the original file in order to optimize reading, we work directly on the original file. We demonstrate our approach in different applications, each with its own traversal strategy and sliding window structure.;https://doi.org/10.1117/12.769423;yes;FAUX;
Flexible network reconstruction from relational databases with Cytoscape and CytoSQL;"Background Molecular interaction networks can be efficiently studied using network visualization software such as Cytoscape. The relevant nodes, edges and their attributes can be imported in Cytoscape in various file formats, or directly from external databases through specialized third party plugins. However, molecular data are often stored in relational databases with their own specific structure, for which dedicated plugins do not exist. Therefore, a more generic solution is presented. Results A new Cytoscape plugin &#39;CytoSQL&#39; is developed to connect Cytoscape to any relational database. It allows to launch SQL (&#39;Structured Query Language&#39;) queries from within Cytoscape, with the option to inject node or edge features of an existing network as SQL arguments, and to convert the retrieved data to Cytoscape network components. Supported by a set of case studies we demonstrate the flexibility and the power of the CytoSQL plugin in converting specific data subsets into meaningful network representations. Conclusions CytoSQL offers a unified approach to let Cytoscape interact with relational databases. Thanks to the power of the SQL syntax, this tool can rapidly generate and enrich networks according to very complex criteria. The plugin is available at http://www.ptools.ua.ac.be/CytoSQL.";https://doi.org/10.1186/1471-2105-11-360;yes;FAUX;
"It&#39;s all about economics!";The article discusses various reports published within the issue, including one on the decision-making tool for the highly competitive maritime and port market, one on the needs and scope of port planning, and one on the role of seaports in supply chains;https://doi.org/10.1080/03088831003700553;yes;VRAI;https://repository.uantwerpen.be/docman/irua/303b78/128741.pdf
Band structure, density of states, and transmission in graphene bilayer superlattices;The energy spectrum and density of states of graphene bilayer superlattices (SLs) are evaluated. We take into account doping and/or gating of the layers as well as tunnel coupling between them. In addition, we evaluate the transmission through such SLs and through single or double barriers. The transmission exhibits a strong dependence on the direction of the incident wave vector.;https://doi.org/10.1063/1.3295550;yes;FAUX;
