publication_title;doi
Generating, sampling and counting subclasses of regular tree languages;https://doi.org/10.1145/1938551.1938559
Static analysis of schema-mappings ensuring oblivious termination;https://doi.org/10.1145/1804669.1804694
Querying big data by accessing small data;https://doi.org/10.1145/2745754.2745771
On scale independence for querying big data;https://doi.org/10.1145/2594538.2594551
On the complexity of package recommendation problems;https://doi.org/10.1145/2213556.2213592
Complexity and composition of synthesized web services;https://doi.org/10.1145/1376916.1376949
Corporate residence fraud detection;https://doi.org/10.1145/2623330.2623333
Capturing missing tuples and missing values;https://doi.org/10.1145/1807085.1807109
Discovering conditional functional dependencies;https://doi.org/10.1109/icde.2009.208
IAME 2011 contemporary studies on maritime transport in Latin America;https://doi.org/10.1080/03088839.2012.729700
Clinical oncology in resource-limited settings;https://doi.org/10.1186/1750-9378-8-39
Treatment of breakthrough cancer pain;https://doi.org/10.1185/03007995.2013.837816
Dilemma in metastatic colorectal cancer;https://doi.org/10.1517/14728222.2013.818135
Should apple snail **Pomacea canaliculata** (Caenogastropoda, Ampullariidae) be used as bioindicator for BDE-209?;https://doi.org/10.1007/s11356-013-2109-8
Looking for a new panacea in ALK-rearranged NSCLC;https://doi.org/10.1517/14728222.2014.936383
Guest editorial;https://doi.org/10.1177/1470357214533448
How to find the Ariadne's thread in the labyrinth of salvage treatment options for metastatic colorectal cancer?;https://doi.org/10.1517/14712598.2014.902926
Memories of cinemagoing and film experience;https://doi.org/10.1177/1750698016670783
On the quality of auxiliary assumptions;https://doi.org/10.1177/0959354316638764
Business-to-business marketing and globalization: two of a kind;https://doi.org/10.1108/02651330810904044
Holocene comment and reply: the disappearance of **S. imbricatum** from European raised bogs: a comment on McClymont et al.;https://doi.org/10.1177/0959683609345080
The changing face of respiratory physiology: 20 years of progress within the ERS: Clinical Physiology and Integrative Biology Assembly contribution to the celebration of 20 years of the ERS;https://doi.org/10.1183/09031936.00035310
Paradigm shifts in lung cancer as defined in the new IASLC/ATS/ERS lung adenocarcinoma classification;https://doi.org/10.1183/09031936.00026711
Assessment of vocational competence in higher education;https://doi.org/10.1080/02602938.2011.581859
Translational research on prolyl oligopeptidase inhibitors;https://doi.org/10.1517/13543776.2011.587803
Benefits of early hepatitis B immunization programs for newborns and infants;https://doi.org/10.1097/inf.0b013e318173966f
Commentary on Otosclerosis;https://doi.org/10.1177/000348941112000910
Tracers for biogenic secondary organic aerosol from -pinene and related monoterpenes;https://doi.org/10.1007/978-94-007-5034-0_18
Impact of fully 4D reconstruction on kinetic parameter estimates;https://doi.org/10.1109/nssmic.2009.5401812
Hot recycling of bituminous mixtures;https://doi.org/10.1007/978-94-007-5104-0_7
DNA barcoding of amphibians and reptiles;https://doi.org/10.1007/978-1-61779-591-6_5
