publication_title,doi,data received from unpaywall,No paywall,pdf urls
How to find the Ariadne's thread in the labyrinth of salvage treatment options for metastatic colorectal cancer?,https://doi.org/10.1517/14712598.2014.902926,yes,True,https://iris.unipa.it/bitstream/10447/99246/1/14712598%252E2014%252E902926.pdf
Memories of cinemagoing and film experience,https://doi.org/10.1177/1750698016670783,yes,True,https://journals.sagepub.com/doi/pdf/10.1177/1750698016670783
On the quality of auxiliary assumptions,https://doi.org/10.1177/0959354316638764,yes,False,No pdf
Business-to-business marketing and globalization: two of a kind,https://doi.org/10.1108/02651330810904044,yes,False,No pdf
Holocene comment and reply: the disappearance of **S. imbricatum** from European raised bogs: a comment on McClymont et al.,https://doi.org/10.1177/0959683609345080,yes,False,No pdf
The changing face of respiratory physiology: 20 years of progress within the ERS: Clinical Physiology and Integrative Biology Assembly contribution to the celebration of 20 years of the ERS,https://doi.org/10.1183/09031936.00035310,yes,True,https://erj.ersjournals.com/content/erj/35/5/945.full.pdf
Paradigm shifts in lung cancer as defined in the new IASLC/ATS/ERS lung adenocarcinoma classification,https://doi.org/10.1183/09031936.00026711,yes,True,https://erj.ersjournals.com/content/erj/38/2/239.full.pdf
Assessment of vocational competence in higher education,https://doi.org/10.1080/02602938.2011.581859,yes,False,No pdf
Translational research on prolyl oligopeptidase inhibitors,https://doi.org/10.1517/13543776.2011.587803,yes,False,No pdf
Benefits of early hepatitis B immunization programs for newborns and infants,https://doi.org/10.1097/inf.0b013e318173966f,yes,False,No pdf
Commentary on Otosclerosis,https://doi.org/10.1177/000348941112000910,yes,False,No pdf
Tracers for biogenic secondary organic aerosol from -pinene and related monoterpenes,https://doi.org/10.1007/978-94-007-5034-0_18,yes,False,No pdf
Impact of fully 4D reconstruction on kinetic parameter estimates,https://doi.org/10.1109/nssmic.2009.5401812,yes,False,No pdf
Hot recycling of bituminous mixtures,https://doi.org/10.1007/978-94-007-5104-0_7,yes,False,No pdf
DNA barcoding of amphibians and reptiles,https://doi.org/10.1007/978-1-61779-591-6_5,yes,False,No pdf
